Detector Type,Descriptor Type,Matcher Type,Descriptor Content Type,Selector Type,Total N keypoints,Only on vehicle Keypoints,N of Matched keypoints,Detector performance,Descriptor performance,Matcher+Selector performance,Detector+Descriptor performance,Matching BBox performance,Total time,Image pairs,TTC Camera,TTC Lidar,Lidar distance to car
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,2159,29,29,68.572,32.2148,21.3777,100.787,0.631842,122.796,TTC_17_18.bmp,15.421,8.82697,6.885
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1915,74,74,140.647,130.478,31.0974,271.125,1.16735,303.389,TTC_0_1.bmp,13.0974,12.3137,8.004
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1824,63,63,75.0435,73.278,38.6944,148.321,1.11689,188.133,TTC_1_2.bmp,15.2301,11.6706,7.936
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1837,85,85,69.0466,63.8455,31.6985,132.892,1.15274,165.743,TTC_2_3.bmp,16.6831,15.7721,7.886
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1827,65,65,70.1789,64.5092,31.5189,134.688,1.20664,167.414,TTC_3_4.bmp,22.5457,16.6787,7.839
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1877,53,53,72.198,67.1451,32.9384,139.343,1.1206,173.402,TTC_4_5.bmp,27.2667,15.5779,7.789
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1931,79,79,66.8243,62.0563,31.0832,128.881,1.12138,161.085,TTC_5_6.bmp,14.4108,11.8831,7.724
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1964,76,76,70.4081,66.6723,32.8258,137.08,1.16658,171.073,TTC_6_7.bmp,15.4444,11.7831,7.659
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1954,68,68,71.7227,69.0929,33.9425,140.816,1.40477,176.163,TTC_7_8.bmp,16.3536,13.5768,7.603
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,1984,94,94,68.566,65.0902,32.5494,133.656,1.08613,167.292,TTC_8_9.bmp,14.2933,13.9795,7.549
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,2046,70,70,69.7204,64.9551,32.8562,134.676,1.0869,168.619,TTC_9_10.bmp,11.5557,11.5139,7.484
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,2065,72,72,70.5109,64.4718,35.784,134.983,1.14211,171.909,TTC_10_11.bmp,13.2414,12.5847,7.425
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,2007,80,80,70.4796,63.8172,35.2695,134.297,1.13627,170.703,TTC_11_12.bmp,12.3078,8.73927,7.341
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,2029,80,80,67.9233,64.8044,33.8842,132.728,1.2487,167.861,TTC_12_13.bmp,11.5804,9.95617,7.268
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,2048,58,58,66.2728,66.2051,33.8014,132.478,1.24572,167.525,TTC_13_14.bmp,12.1293,9.72157,7.194
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,2044,86,86,69.3588,66.3893,33.3838,135.748,1.35347,170.485,TTC_14_15.bmp,10.0452,8.16898,7.107
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,2088,87,87,70.1186,64.3202,34.4504,134.439,1.41903,170.308,TTC_15_16.bmp,9.49355,10.3515,7.039
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,2095,65,65,68.04,66.5426,34.8599,134.583,1.3434,170.786,TTC_16_17.bmp,9.53556,9.16182,6.963
SIFT,SIFT,MAT_FLANN,DES_HOG,SEL_KNN,2159,81,81,66.8188,65.3776,34.605,132.196,1.38635,168.188,TTC_17_18.bmp,8.9237,8.82697,6.885
